Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - BarkBox,https://www.crunchbase.com/funding_round/barkbox-seed--f7042303,BarkBox,https://www.crunchbase.com/organization/barkbox,Seed,1700000,USD,1700000,2012-07-09,,,,Barkbox is a subscription-based e-commerce and content company for dog lovers.,"Consumer, Content, E-Commerce, Pet, Subscription Service","New York, New York, United States, North America",http://barkbox.com,$1M to $10M,Late Stage Venture,"500 Startups, Aaron Harris, BDMI, Brian Lee, Doug Chertok, Gary Vaynerchuk, Josh Abramson, Lerer Hippeau, Mike Jung, Nat Turner, Polaris Partners, Resolute Ventures, RRE Ventures, Vast Ventures, Zach Weinberg"
Series A - Bibit.id,https://www.crunchbase.com/funding_round/bibit-id-series-a--2a572d88,Bibit.id,https://www.crunchbase.com/organization/bibit-id,Series A,30000000,USD,30000000,2021-01-05,,,,Bibit.id is a financial services company located in Setiabudi.,"Finance, Financial Services, Information Technology, Internet, Internet of Things","Jakarta, Jakarta Raya, Indonesia, Asia",https://bibit.id/,,Early Stage Venture,"500 Startups, AC Ventures, East Ventures, EV Growth, Sequoia Capital India"
Series B - Siren,https://www.crunchbase.com/funding_round/siren-ivs-series-b--a341c7cc,Siren,https://www.crunchbase.com/organization/siren-ivs,Series B,20800000,USD,20800000,2020-05-27,,,,Siren is a developer of a diabetic foot monitoring system used to detect and treat diabetics.,"Consumer Electronics, Health Care, Textiles","San Francisco, California, United States, North America",http://siren.care,$1M to $10M,Early Stage Venture,"500 Startups, Anathem Ventures, Beni VC, Daniel Curran, DCM Ventures, Founders Fund, Khosla Ventures"
Seed Round - Genomelink,https://www.crunchbase.com/funding_round/awakens-inc-seed--194b6ae9,Genomelink,https://www.crunchbase.com/organization/awakens-inc,Seed,50000000,JPY,455641,2017-08-22,,,,"Genomelink is a platform where people discover more with their DNA data and help businesses build, market and do research with it.","Biotechnology, Consumer Software, Genetics","Berkeley, California, United States, North America",http://genomelink.io,Less than $1M,Seed,"500 Startups, Hiroaki Kitano, Japanese Organization for Medical Device Development, Kamata Tomihisa, M3.com, Tsunegoro Nishino"
Pre Seed Round - Gamerjibe,https://www.crunchbase.com/funding_round/gamerjibe-pre-seed--76c5b42a,Gamerjibe,https://www.crunchbase.com/organization/gamerjibe,Pre-Seed,830000,USD,830000,2021-03-01,,,,Immersive events platform for the digital generation,"Events, Gaming, Virtual Workforce","Chicago, Illinois, United States, North America",https://gamerjibe.com,Less than $1M,Seed,"500 Startups, Chicago Early Growth Ventures (CEGV), Food & Fun Ventures, Intonation Ventures, Lofty Ventures, Propellant Ventures, Subconscious Ventures"
Seed Round - Studypool,https://www.crunchbase.com/funding_round/studypool-seed--a299e463,Studypool,https://www.crunchbase.com/organization/studypool,Seed,1200000,USD,1200000,2015-03-06,,,,Studypool a tool that allows students to get tutoring help with all of their academic based questions.,"Education, Tutoring","Mountain View, California, United States, North America",http://www.studypool.com,Less than $1M,Seed,"500 Startups, FJ Labs, Great Oaks Venture Capital, Güimar Vaca Sittic, Lerer Hippeau"
Pre Seed Round - Abound,https://www.crunchbase.com/funding_round/withabound-pre-seed--d6f17343,Abound,https://www.crunchbase.com/organization/withabound,Pre-Seed,650000,USD,650000,2019-09-16,,,,Abound is the independent benefits API for businesses that serve independent workers.,"Apps, Employee Benefits, Finance, Financial Services, FinTech","San Francisco, California, United States, North America",https://www.withabound.com,$1M to $10M,Seed,"500 Fintech, 500 Startups, Ankur Nagpal, Cheung Tam, Matthew Stotts, Moderne Ventures, nbkc bank, Ryan Merket, Sanjay Sathe, Tom Carter"
Series B - Kin Insurance,https://www.crunchbase.com/funding_round/kin-insurance-series-b--c209cd75,Kin Insurance,https://www.crunchbase.com/organization/kin-insurance,Series B,23000000,USD,23000000,2020-08-13,,,,Kin Insurance is an insurtech startup that's changing home insurance from what it is to what it should be.,"Finance, Financial Services, Insurance, InsurTech, Property Insurance","Chicago, Illinois, United States, North America",https://www.kin.com/,$1M to $10M,Early Stage Venture,"500 Startups, Allegis NL Capital, Alpha Edison, August Capital, Avanta Ventures, Commerce Ventures, Flourish Ventures, Hudson Structured Capital Management, Industry Ventures, QED Investors, UChicago Startup Investment Program"
Series C - Carbon Health,https://www.crunchbase.com/funding_round/carbon-health-series-c--4c9dc062,Carbon Health,https://www.crunchbase.com/organization/carbon-health,Series C,100000000,USD,100000000,2020-11-10,,,,Carbon Health is a tech-enabled healthcare company that delivers a virtual care experience.,"Electronic Health Record (EHR), Health Care, Medical, mHealth, Mobile Apps","San Francisco, California, United States, North America",http://carbonhealth.com,$10M to $50M,Late Stage Venture,"500 Startups, Brookfield Asset Management, Builders VC, DCVC, Dragoneer Investment Group"
Seed Round - Kenzie Academy,https://www.crunchbase.com/funding_round/kenzie-academy-seed--102326e0,Kenzie Academy,https://www.crunchbase.com/organization/kenzie-academy,Seed,1600000,USD,1600000,2017-11-17,,,,"Kenzie Academy provides a solution to the dramatic shortage of tech talent in the U.S., by reimagining higher education for the tech sector.","Consulting, Education, Industrial Engineering, Mechanical Engineering","Indianapolis, Indiana, United States, North America",https://www.kenzie.academy/,Less than $1M,M&A,"500 Startups, Emily Chiu, Julie McDermott, LearnStart, Rethink Education"
Seed Round - Appboxo,https://www.crunchbase.com/funding_round/appboxo-seed--f8a05cf9,Appboxo,https://www.crunchbase.com/organization/appboxo,Seed,1100000,USD,1100000,2020-12-13,,,,Appboxo provides integration software that allows the launching of miniapps within other native super apps.,"Developer APIs, Mobile, Software","Singapore, Central Region, Singapore, Asia",https://www.appboxo.com,,Seed,"500 Durians, 500 Startups, Antler, FF APAC Scout, Plug and Play"
Series B - Springboard,https://www.crunchbase.com/funding_round/sliderule-series-b--da572a8d,Springboard,https://www.crunchbase.com/organization/sliderule,Series B,31000000,USD,31000000,2020-08-05,,,,Springboard is an e-learning platform that prepares people for modern careers through cutting edge curriculum and mentor guidance.,"E-Learning, EdTech, Education","San Francisco, California, United States, North America",https://www.springboard.com/,$50M to $100M,Early Stage Venture,"500 Startups, Blue Fog Capital, Costanoa Ventures, International Finance Corporation, Larsen Ventures, Learn Capital, Pearson Ventures, Reach Capital, SJF Ventures, Telstra Ventures, Vulcan Capital"
Series A - Salasa,https://www.crunchbase.com/funding_round/salasa-series-a--33c94bb5,Salasa,https://www.crunchbase.com/organization/salasa,Series A,8600000,USD,8600000,2020-12-28,,,,Salasa isa logistics company that offers commerce fulfillment service in the Middle East.,"E-Commerce, Logistics, Supply Chain Management","Riyadh, Ar Riyad, Saudi Arabia, Asia",http://salasa.co/,,Early Stage Venture,"500 Startups, Alsulaiman Group, Saudi Venture Capital Company"
Seed Round - NowPay,https://www.crunchbase.com/funding_round/nowpay-seed--b5864d42,NowPay,https://www.crunchbase.com/organization/nowpay,Seed,2100000,USD,2100000,2020-10-12,,,,NowPay improves the financial-wellness of corporate employees.,Software,"San Francisco, California, United States, North America",https://nowpay.com/,,Seed,"4DX Ventures, 500 Startups, BECO Capital, Ebtikar, EFG EV Fintech, Endure Capital, Foundation Ventures, MSA Capital, Plug and Play"
