Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Pre Seed Round - EMOTAI,https://www.crunchbase.com/funding_round/emotai-pre-seed--522f19b0,EMOTAI,https://www.crunchbase.com/organization/emotai,Pre-Seed,,,,2020-03-02,,,,EMOTAI is a privately held company that focuses in improving human performance.,"Consumer Electronics, Education, Human Resources","Lisbon, Lisboa, Portugal, Europe",http://www.emotai.tech,,Seed,"Techstars, Techstars Lisbon in partnership with Semapa Next"
Pre Seed Round - Educhain,https://www.crunchbase.com/funding_round/educhain-pre-seed--c6d4ca66,Educhain,https://www.crunchbase.com/organization/educhain,Pre-Seed,120000,USD,120000,2020-01-27,,,,Educhain is a Techstars backed company that enables instant issuance and authentication of digital records for academic institutions.,"Blockchain, Cyber Security, Education","Vancouver, British Columbia, Canada, North America",https://educhain.io,$1M to $10M,Seed,"Techstars, Techstars Hub71"
Seed Round - Aumet,https://www.crunchbase.com/funding_round/aumet-seed--7236364d,Aumet,https://www.crunchbase.com/organization/aumet,Seed,120000,USD,120000,2020-01-27,,,,Sell medical products from manufacturers to healthcare providers by automating finding distributors and product registration.,"Health Care, Hospital, Manufacturing, Medical","Mountain View, California, United States, North America",https://aumet.me/,Less than $1M,Seed,"Techstars, Techstars Hub71"
Pre Seed Round - Swayed,https://www.crunchbase.com/funding_round/swayed-33fd-pre-seed--725e8ac3,Swayed,https://www.crunchbase.com/organization/swayed-33fd,Pre-Seed,,,,2020-01-27,,,,Swayed bridges the gap between insight and action for hospitality groups.,"Hospitality, Machine Learning, Real Time, Software","Los Angeles, California, United States, North America",https://swayed.ai/,,,"Techstars, Techstars Berlin Accelerator"
Pre Seed Round - Grandpal,https://www.crunchbase.com/funding_round/grandpal-pre-seed--7d9fcd84,Grandpal,https://www.crunchbase.com/organization/grandpal,Pre-Seed,,,,2020-01-27,,,,"Grandpal ensures a better quality of life for the older generations, combating increasing levels of old-age loneliness.","Health Care, Information Services, Wellness","Dublin, Dublin, Ireland, Europe",https://www.grandpal.co/,,Seed,"Techstars, Techstars Berlin Accelerator"
Pre Seed Round - Retrocausal,https://www.crunchbase.com/funding_round/retrocausal-pre-seed--5a802c2f,Retrocausal,https://www.crunchbase.com/organization/retrocausal,Pre-Seed,,,,2020-02-03,,,,Visual Mistake-Proofing for Manual Assembly,"Augmented Reality, Industrial Automation","Seattle, Washington, United States, North America",http://www.retrocausal.ai,,Seed,"Techstars, Techstars Seattle Accelerator"
Pre Seed Round - splashmob,https://www.crunchbase.com/funding_round/splashmob-pre-seed--a28f1560,splashmob,https://www.crunchbase.com/organization/splashmob,Pre-Seed,,,,2020-02-03,,,,Splashmob is a computer software company that specializes in live events.,"Apps, Mobile Apps, Software, Video Streaming","Los Angeles, California, United States, North America",http://splashmob.app,,Seed,"Techstars, Techstars Music"
Pre Seed Round - left,https://www.crunchbase.com/funding_round/left-95f9-pre-seed--dd377392,left,https://www.crunchbase.com/organization/left-95f9,Pre-Seed,,,,2020-03-02,,,,left is an end to end management software for Group Travel Organizations and coordinators.,"Analytics, B2B, Business Travel, Data Storage, Database, Information Technology, Mobile Apps, Software, Travel, Web Apps","Los Angeles, California, United States, North America",https://www.travel-left.com/,,Seed,"Techstars, Techstars Lisbon in partnership with Semapa Next"
Pre Seed Round - Yellowbox,https://www.crunchbase.com/funding_round/yellowbox-pre-seed--ce371f28,Yellowbox,https://www.crunchbase.com/organization/yellowbox,Pre-Seed,120000,USD,120000,2020-03-02,,,,Yellowbox is a network of smart lockers that users can hire on demand using a mobile app.,"Consumer Software, Mobile Apps, Professional Services","Kensington, South Australia, Australia, Oceania",https://yellowbox.app/,,Seed,"Arcadis City of 2030 Accelerator, Powered by Techstars, Techstars"
Pre Seed Round - WeGlad,https://www.crunchbase.com/funding_round/weglad-pre-seed--efd379ec,WeGlad,https://www.crunchbase.com/organization/weglad,Pre-Seed,,,,2020-01-27,,,,"WeGlad develops an application for safe and personalized mobility, starting from people with disabilities.","Information Technology, Navigation, Public Safety","Turin, Piemonte, Italy, Europe",https://wegladtravel.com/,,Seed,"Techstars, Techstars Smart Mobility"
